CustomerID, FirstName, LastName, Email, Phone, City, Country
1, Stephen, Nelson, Stephen.Nelson@8432.com, +1 897-555-3904, Milwaukee, Austria
2, Jason, Sanchez, Jason.Sanchez@9927.com, +1 866-555-2297, Oakland, Côte d'Ivoire
3, Stephen, Brown, Stephen.Brown@4324.com, +1 434-555-3891, Colorado Springs, Bahrain
4, David, Phillips, David.Phillips@3579.com, +1 723-555-7184, Detroit, Bulgaria
5, John, Thompson, John.Thompson@9137.com, +1 434-555-3998, Oklahoma City, Democratic Republic of the Congo
6, George, Roberts, George.Roberts@6754.com, +1 771-555-7180, Tucson, Austria
7, Kenneth, Turner, Kenneth.Turner@4443.com, +1 737-555-2404, Wichita, Bulgaria
8, Jerry, Wright, Jerry.Wright@5206.com, +1 137-555-9275, Arlington, Belize
9, Jack, Rodriguez, Jack.Rodriguez@2371.com, +1 184-555-7005, Philadelphia, China
10, Jeffrey, Hernandez, Jeffrey.Hernandez@1235.com, +1 866-555-7339, Memphis, Colombia
11, Daniel, Miller, Daniel.Miller@4192.com, +1 153-555-5442, Tucson, Botswana
12, Jeffrey, Adams, Jeffrey.Adams@6141.com, +1 916-555-3175, El Paso, Bhutan
13, Ronald, Jones, Ronald.Jones@5428.com, +1 369-555-3687, Fresno, Central African Republic
14, Justin, Baker, Justin.Baker@3733.com, +1 379-555-7486, Nashville, Côte d'Ivoire
15, Samuel, Rodriguez, Samuel.Rodriguez@6770.com, +1 879-555-9952, San Francisco, Croatia
16, Paul, Carter, Paul.Carter@2693.com, +1 721-555-4366, Detroit, Albania
17, Jonathan, Phillips, Jonathan.Phillips@1151.com, +1 103-555-3307, Mesa, Congo (Congo-Brazzaville)
18, David, Campbell, David.Campbell@7479.com, +1 186-555-5730, Omaha, Chad
19, Edward, Miller, Edward.Miller@4114.com, +1 520-555-2984, Philadelphia, Angola
20, Daniel, Thomas, Daniel.Thomas@2194.com, +1 867-555-9689, Tampa, Côte d'Ivoire
21, Gregory, Torres, Gregory.Torres@8242.com, +1 868-555-6124, Los Angeles, Belize
22, John, Evans, John.Evans@4468.com, +1 255-555-1240, Jacksonville, Czechia (Czech Republic)
23, John, Harris, John.Harris@1125.com, +1 421-555-3047, New York, Central African Republic
24, James, Robinson, James.Robinson@7634.com, +1 840-555-9007, Boston, Armenia
25, David, Anderson, David.Anderson@5440.com, +1 187-555-2642, Los Angeles, Croatia
26, Frank, Williams, Frank.Williams@5933.com, +1 356-555-2868, Los Angeles, Belgium
27, Thomas, Baker, Thomas.Baker@9434.com, +1 783-555-2243, Philadelphia, Brunei
28, Frank, Davis, Frank.Davis@4064.com, +1 862-555-7218, Columbus, Australia
29, Michael, Gonzalez, Michael.Gonzalez@6224.com, +1 960-555-9045, Seattle, Denmark
30, Gary, King, Gary.King@9574.com, +1 246-555-2674, El Paso, Botswana
31, Gary, Taylor, Gary.Taylor@2770.com, +1 227-555-2461, San Diego, Central African Republic
32, Andrew, White, Andrew.White@4384.com, +1 216-555-2267, Miami, Burundi
33, Charles, Taylor, Charles.Taylor@7279.com, +1 824-555-9930, Las Vegas, Belize
34, Dennis, Smith, Dennis.Smith@2688.com, +1 376-555-9147, Wichita, Benin
35, Paul, Wright, Paul.Wright@7395.com, +1 978-555-3936, Seattle, Cambodia
36, Robert, Perez, Robert.Perez@1407.com, +1 946-555-8417, Louisville, Armenia
37, Jacob, Hall, Jacob.Hall@9198.com, +1 972-555-7316, Colorado Springs, China
38, Gregory, Williams, Gregory.Williams@9767.com, +1 209-555-8265, Louisville, Albania
39, Jason, Allen, Jason.Allen@8852.com, +1 524-555-6732, Baltimore, Bangladesh
40, Nicholas, Gonzalez, Nicholas.Gonzalez@9429.com, +1 639-555-5356, Chicago, Croatia
41, Daniel, Lewis, Daniel.Lewis@6212.com, +1 729-555-4673, Las Vegas, Canada
42, Anthony, Nelson, Anthony.Nelson@4177.com, +1 246-555-4720, Tucson, Denmark
43, Christopher, Harris, Christopher.Harris@2606.com, +1 800-555-1313, Oakland, Dominican Republic
44, Michael, Robinson, Michael.Robinson@2903.com, +1 652-555-3079, Colorado Springs, Central African Republic
45, Ryan, Sanchez, Ryan.Sanchez@4655.com, +1 844-555-4707, Colorado Springs, Azerbaijan
46, Daniel, Scott, Daniel.Scott@3174.com, +1 846-555-1031, Nashville, Azerbaijan
47, Anthony, Gonzalez, Anthony.Gonzalez@3038.com, +1 213-555-3928, Fort Worth, Cyprus
48, Andrew, Gonzalez, Andrew.Gonzalez@7049.com, +1 423-555-2124, Tucson, Chile
49, Jason, Jackson, Jason.Jackson@7876.com, +1 419-555-4514, Phoenix, Azerbaijan
50, Matthew, Mitchell, Matthew.Mitchell@7464.com, +1 448-555-4658, Louisville, Cabo Verde
51, Jack, Martinez, Jack.Martinez@6664.com, +1 342-555-1952, Baltimore, Bangladesh
52, Larry, Sanchez, Larry.Sanchez@2645.com, +1 299-555-5873, Tucson, Argentina
53, Edward, Torres, Edward.Torres@3759.com, +1 139-555-8810, New Orleans, Australia
54, Jonathan, Evans, Jonathan.Evans@9708.com, +1 907-555-9560, San Diego, Barbados
55, Charles, Wilson, Charles.Wilson@4734.com, +1 714-555-3012, Detroit, Afghanistan
56, Jeffrey, Johnson, Jeffrey.Johnson@7433.com, +1 815-555-7391, Milwaukee, Cyprus
57, Daniel, Green, Daniel.Green@2697.com, +1 507-555-1465, Mesa, Armenia
58, Justin, Evans, Justin.Evans@4086.com, +1 649-555-4988, San Diego, Cuba
59, Patrick, Johnson, Patrick.Johnson@5868.com, +1 411-555-7245, Raleigh, Algeria
60, Jason, White, Jason.White@2127.com, +1 981-555-7580, El Paso, Andorra
61, Joshua, Martin, Joshua.Martin@2655.com, +1 710-555-4406, San Diego, Cuba
62, Alexander, Gonzalez, Alexander.Gonzalez@6445.com, +1 786-555-7662, Fort Worth, Argentina
63, Dennis, Miller, Dennis.Miller@2824.com, +1 182-555-7935, Raleigh, Colombia
64, George, Carter, George.Carter@6316.com, +1 337-555-3812, Tampa, Democratic Republic of the Congo
65, Raymond, Wright, Raymond.Wright@2880.com, +1 112-555-2789, Denver, Algeria
66, Timothy, Ramirez, Timothy.Ramirez@9066.com, +1 874-555-4945, Columbus, Central African Republic
67, Kenneth, Lopez, Kenneth.Lopez@7220.com, +1 712-555-7894, Indianapolis, Antigua and Barbuda
68, Mark, Baker, Mark.Baker@3282.com, +1 741-555-8318, San Francisco, Cameroon
69, Dennis, Scott, Dennis.Scott@3025.com, +1 969-555-9077, Virginia Beach, Bulgaria
70, Paul, Martin, Paul.Martin@9993.com, +1 660-555-4406, San Francisco, Djibouti
71, Michael, Miller, Michael.Miller@8125.com, +1 651-555-8512, Los Angeles, Bosnia and Herzegovina
72, Jeffrey, Adams, Jeffrey.Adams@3199.com, +1 817-555-9827, Baltimore, Chile
73, Jerry, Carter, Jerry.Carter@3071.com, +1 522-555-8487, Virginia Beach, Andorra
74, Kenneth, Martin, Kenneth.Martin@5061.com, +1 914-555-9572, Milwaukee, Belize
75, Steven, Smith, Steven.Smith@3820.com, +1 362-555-5201, Colorado Springs, Cabo Verde
76, George, Gonzalez, George.Gonzalez@4563.com, +1 346-555-3152, San Jose, Cambodia
77, Donald, Adams, Donald.Adams@8799.com, +1 329-555-6779, Detroit, Chad
78, Timothy, Ramirez, Timothy.Ramirez@7819.com, +1 263-555-4883, Dallas, Burundi
79, Ronald, Martin, Ronald.Martin@1819.com, +1 915-555-9081, Fort Worth, Afghanistan
80, Gregory, Hernandez, Gregory.Hernandez@3608.com, +1 158-555-9081, Detroit, Bhutan
81, Daniel, Robinson, Daniel.Robinson@8947.com, +1 864-555-6480, Memphis, Austria
82, Edward, Hernandez, Edward.Hernandez@8376.com, +1 543-555-3849, Chicago, Bhutan
83, Michael, Jones, Michael.Jones@1506.com, +1 936-555-3753, Las Vegas, Albania
84, David, Martin, David.Martin@6807.com, +1 916-555-5042, El Paso, Croatia
85, Stephen, Robinson, Stephen.Robinson@8018.com, +1 341-555-2860, Colorado Springs, Azerbaijan
86, William, Jackson, William.Jackson@9944.com, +1 698-555-7034, Milwaukee, Denmark
87, Jerry, Lewis, Jerry.Lewis@8622.com, +1 927-555-3684, Fort Worth, Chad
88, Jerry, Green, Jerry.Green@9449.com, +1 770-555-6219, Sacramento, Australia
89, Timothy, Clark, Timothy.Clark@2039.com, +1 119-555-1204, San Antonio, Bangladesh
90, Jack, Campbell, Jack.Campbell@6377.com, +1 369-555-4710, Indianapolis, Burkina Faso
91, Brandon, Evans, Brandon.Evans@7839.com, +1 786-555-3987, Columbus, Brazil
92, Paul, Hernandez, Paul.Hernandez@9462.com, +1 638-555-4511, Fort Worth, Djibouti
93, Alexander, Johnson, Alexander.Johnson@5366.com, +1 559-555-3437, Milwaukee, Bosnia and Herzegovina
94, Jason, Young, Jason.Young@6106.com, +1 759-555-6941, Omaha, Algeria
95, Raymond, Perez, Raymond.Perez@6499.com, +1 702-555-5912, Las Vegas, Democratic Republic of the Congo
96, Alexander, Roberts, Alexander.Roberts@8303.com, +1 386-555-4197, Nashville, Austria
